bin_id,Q2_min,Q2_max,x_min,x_max,phperp_pi_min,phperp_pi_max,z_pi_min,z_pi_max
200,5.00000000,9.00000000,0.00000000,0.27400000,0.00000000,0.20000000,0.00000000,0.07500000
201,5.00000000,9.00000000,0.00000000,0.27400000,0.00000000,0.20000000,0.07500000,0.15000000
202,5.00000000,9.00000000,0.00000000,0.27400000,0.00000000,0.20000000,0.15000000,0.25000000
203,5.00000000,9.00000000,0.00000000,0.27400000,0.00000000,0.20000000,0.25000000,0.35000000
204,5.00000000,9.00000000,0.00000000,0.27400000,0.00000000,0.20000000,0.35000000,0.55000000
205,5.00000000,9.00000000,0.00000000,0.27400000,0.00000000,0.20000000,0.55000000,1.00000000
206,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.00000000,0.07500000
207,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.07500000,0.15000000
208,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.15000000,0.25000000
209,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.25000000,0.35000000
210,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.35000000,0.55000000
211,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.55000000,1.00000000
212,5.00000000,9.00000000,0.00000000,0.27400000,0.40000000,0.60000000,0.00000000,0.15000000
213,5.00000000,9.00000000,0.00000000,0.27400000,0.40000000,0.60000000,0.15000000,0.25000000
214,5.00000000,9.00000000,0.00000000,0.27400000,0.40000000,0.60000000,0.25000000,0.35000000
215,5.00000000,9.00000000,0.00000000,0.27400000,0.40000000,0.60000000,0.35000000,0.55000000
216,5.00000000,9.00000000,0.00000000,0.27400000,0.40000000,0.60000000,0.55000000,1.00000000
217,5.00000000,9.00000000,0.00000000,0.27400000,0.60000000,1.00000000,0.00000000,0.15000000
218,5.00000000,9.00000000,0.00000000,0.27400000,0.60000000,1.00000000,0.15000000,0.25000000
219,5.00000000,9.00000000,0.00000000,0.27400000,0.60000000,1.00000000,0.25000000,0.35000000
220,5.00000000,9.00000000,0.00000000,0.27400000,0.60000000,1.00000000,0.35000000,0.55000000
221,5.00000000,9.00000000,0.00000000,0.27400000,0.60000000,1.00000000,0.55000000,1.00000000
222,5.00000000,9.00000000,0.00000000,0.27400000,1.00000000,3.00000000,0.00000000,0.25000000
223,5.00000000,9.00000000,0.00000000,0.27400000,1.00000000,3.00000000,0.25000000,0.35000000
224,5.00000000,9.00000000,0.00000000,0.27400000,1.00000000,3.00000000,0.35000000,1.00000000
225,5.00000000,9.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.00000000,0.07500000
226,5.00000000,9.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.07500000,0.15000000
227,5.00000000,9.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.15000000,0.25000000
228,5.00000000,9.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.25000000,0.35000000
229,5.00000000,9.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.35000000,0.55000000
230,5.00000000,9.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.55000000,1.00000000
231,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.00000000,0.07500000
232,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.07500000,0.15000000
233,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.15000000,0.25000000
234,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.25000000,0.35000000
235,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.35000000,0.55000000
236,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.55000000,1.00000000
237,5.00000000,9.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.00000000,0.15000000
238,5.00000000,9.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.15000000,0.25000000
239,5.00000000,9.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.25000000,0.35000000
240,5.00000000,9.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.35000000,0.55000000
241,5.00000000,9.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.55000000,1.00000000
242,5.00000000,9.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.00000000,0.15000000
243,5.00000000,9.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.15000000,0.25000000
244,5.00000000,9.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.25000000,0.35000000
245,5.00000000,9.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.35000000,0.55000000
246,5.00000000,9.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.55000000,1.00000000
247,5.00000000,9.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.00000000,0.25000000
248,5.00000000,9.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.25000000,0.35000000
249,5.00000000,9.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.35000000,1.00000000
250,5.00000000,9.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.00000000,0.07500000
251,5.00000000,9.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.07500000,0.15000000
252,5.00000000,9.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.15000000,0.25000000
253,5.00000000,9.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.25000000,0.35000000
254,5.00000000,9.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.35000000,0.55000000
255,5.00000000,9.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.55000000,1.00000000
256,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.00000000,0.07500000
257,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.07500000,0.15000000
258,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.15000000,0.25000000
259,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.25000000,0.35000000
260,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.35000000,0.55000000
