bin_id,Q2_min,Q2_max,x_min,x_max,phperp_pim_min,phperp_pim_max,z_pim_min,z_pim_max
117,1.00000000,5.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.00000000,0.15000000
118,1.00000000,5.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.15000000,0.25000000
119,1.00000000,5.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.25000000,0.35000000
120,1.00000000,5.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.35000000,0.55000000
121,1.00000000,5.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.55000000,1.00000000
122,1.00000000,5.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.00000000,0.25000000
123,1.00000000,5.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.25000000,0.35000000
124,1.00000000,5.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.35000000,1.00000000
125,1.00000000,5.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.00000000,0.15000000
126,1.00000000,5.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.15000000,0.25000000
127,1.00000000,5.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.25000000,0.35000000
128,1.00000000,5.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.35000000,0.55000000
129,1.00000000,5.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.55000000,1.00000000
130,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.00000000,0.10000000
131,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.10000000,0.15000000
132,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.15000000,0.25000000
133,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.25000000,0.35000000
134,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.35000000,0.55000000
135,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.55000000,1.00000000
136,1.00000000,5.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.00000000,0.10000000
137,1.00000000,5.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.10000000,0.15000000
138,1.00000000,5.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.15000000,0.25000000
139,1.00000000,5.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.25000000,0.35000000
140,1.00000000,5.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.35000000,0.55000000
141,1.00000000,5.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.55000000,1.00000000
142,1.00000000,5.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.00000000,0.15000000
143,1.00000000,5.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.15000000,0.25000000
144,1.00000000,5.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.25000000,0.35000000
145,1.00000000,5.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.35000000,0.55000000
146,1.00000000,5.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.55000000,1.00000000
147,1.00000000,5.00000000,0.31800000,0.37300000,1.00000000,3.00000000,0.00000000,0.25000000
148,1.00000000,5.00000000,0.31800000,0.37300000,1.00000000,3.00000000,0.25000000,0.35000000
149,1.00000000,5.00000000,0.31800000,0.37300000,1.00000000,3.00000000,0.35000000,1.00000000
150,1.00000000,5.00000000,0.37300000,0.45400000,0.00000000,0.20000000,0.00000000,0.15000000
151,1.00000000,5.00000000,0.37300000,0.45400000,0.00000000,0.20000000,0.15000000,0.25000000
152,1.00000000,5.00000000,0.37300000,0.45400000,0.00000000,0.20000000,0.25000000,0.35000000
153,1.00000000,5.00000000,0.37300000,0.45400000,0.00000000,0.20000000,0.35000000,0.55000000
154,1.00000000,5.00000000,0.37300000,0.45400000,0.00000000,0.20000000,0.55000000,1.00000000
155,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.00000000,0.10000000
156,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.10000000,0.15000000
157,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.15000000,0.25000000
158,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.25000000,0.35000000
159,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.35000000,0.55000000
160,1.00000000,5.00000000,0.37300000,0.45400000,0.20000000,0.40000000,0.55000000,1.00000000
161,1.00000000,5.00000000,0.37300000,0.45400000,0.40000000,0.60000000,0.00000000,0.10000000
162,1.00000000,5.00000000,0.37300000,0.45400000,0.40000000,0.60000000,0.10000000,0.15000000
163,1.00000000,5.00000000,0.37300000,0.45400000,0.40000000,0.60000000,0.15000000,0.25000000
164,1.00000000,5.00000000,0.37300000,0.45400000,0.40000000,0.60000000,0.25000000,0.35000000
165,1.00000000,5.00000000,0.37300000,0.45400000,0.40000000,0.60000000,0.35000000,0.55000000
166,1.00000000,5.00000000,0.37300000,0.45400000,0.40000000,0.60000000,0.55000000,1.00000000
167,1.00000000,5.00000000,0.37300000,0.45400000,0.60000000,1.00000000,0.00000000,0.15000000
168,1.00000000,5.00000000,0.37300000,0.45400000,0.60000000,1.00000000,0.15000000,0.25000000
169,1.00000000,5.00000000,0.37300000,0.45400000,0.60000000,1.00000000,0.25000000,0.35000000
170,1.00000000,5.00000000,0.37300000,0.45400000,0.60000000,1.00000000,0.35000000,0.55000000
171,1.00000000,5.00000000,0.37300000,0.45400000,0.60000000,1.00000000,0.55000000,1.00000000
172,1.00000000,5.00000000,0.37300000,0.45400000,1.00000000,3.00000000,0.00000000,0.25000000
173,1.00000000,5.00000000,0.37300000,0.45400000,1.00000000,3.00000000,0.25000000,0.35000000
174,1.00000000,5.00000000,0.37300000,0.45400000,1.00000000,3.00000000,0.35000000,1.00000000
175,1.00000000,5.00000000,0.45400000,1.00000000,0.00000000,0.20000000,0.00000000,0.15000000
176,1.00000000,5.00000000,0.45400000,1.00000000,0.00000000,0.20000000,0.15000000,0.25000000
177,1.00000000,5.00000000,0.45400000,1.00000000,0.00000000,0.20000000,0.25000000,0.35000000
178,1.00000000,5.00000000,0.45400000,1.00000000,0.00000000,0.20000000,0.35000000,0.55000000
179,1.00000000,5.00000000,0.45400000,1.00000000,0.00000000,0.20000000,0.55000000,1.00000000
180,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.00000000,0.10000000
181,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.10000000,0.15000000
182,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.15000000,0.25000000
183,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.25000000,0.35000000
184,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.35000000,0.55000000
185,1.00000000,5.00000000,0.45400000,1.00000000,0.20000000,0.40000000,0.55000000,1.00000000
186,1.00000000,5.00000000,0.45400000,1.00000000,0.40000000,0.60000000,0.00000000,0.10000000
187,1.00000000,5.00000000,0.45400000,1.00000000,0.40000000,0.60000000,0.10000000,0.15000000
188,1.00000000,5.00000000,0.45400000,1.00000000,0.40000000,0.60000000,0.15000000,0.25000000
189,1.00000000,5.00000000,0.45400000,1.00000000,0.40000000,0.60000000,0.25000000,0.35000000
190,1.00000000,5.00000000,0.45400000,1.00000000,0.40000000,0.60000000,0.35000000,0.55000000
191,1.00000000,5.00000000,0.45400000,1.00000000,0.40000000,0.60000000,0.55000000,1.00000000
192,1.00000000,5.00000000,0.45400000,1.00000000,0.60000000,1.00000000,0.00000000,0.15000000
193,1.00000000,5.00000000,0.45400000,1.00000000,0.60000000,1.00000000,0.15000000,0.25000000
194,1.00000000,5.00000000,0.45400000,1.00000000,0.60000000,1.00000000,0.25000000,0.35000000
195,1.00000000,5.00000000,0.45400000,1.00000000,0.60000000,1.00000000,0.35000000,0.55000000
196,1.00000000,5.00000000,0.45400000,1.00000000,0.60000000,1.00000000,0.55000000,1.00000000
197,1.00000000,5.00000000,0.45400000,1.00000000,1.00000000,3.00000000,0.00000000,0.25000000
198,1.00000000,5.00000000,0.45400000,1.00000000,1.00000000,3.00000000,0.25000000,0.35000000
199,1.00000000,5.00000000,0.45400000,1.00000000,1.00000000,3.00000000,0.35000000,1.00000000
200,5.00000000,9.00000000,0.00000000,0.27400000,0.00000000,0.20000000,0.00000000,0.15000000
201,5.00000000,9.00000000,0.00000000,0.27400000,0.00000000,0.20000000,0.15000000,0.25000000
202,5.00000000,9.00000000,0.00000000,0.27400000,0.00000000,0.20000000,0.25000000,0.35000000
203,5.00000000,9.00000000,0.00000000,0.27400000,0.00000000,0.20000000,0.35000000,0.55000000
204,5.00000000,9.00000000,0.00000000,0.27400000,0.00000000,0.20000000,0.55000000,1.00000000
205,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.00000000,0.10000000
206,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.10000000,0.15000000
207,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.15000000,0.25000000
208,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.25000000,0.35000000
209,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.35000000,0.55000000
210,5.00000000,9.00000000,0.00000000,0.27400000,0.20000000,0.40000000,0.55000000,1.00000000
211,5.00000000,9.00000000,0.00000000,0.27400000,0.40000000,0.60000000,0.00000000,0.10000000
212,5.00000000,9.00000000,0.00000000,0.27400000,0.40000000,0.60000000,0.10000000,0.15000000
213,5.00000000,9.00000000,0.00000000,0.27400000,0.40000000,0.60000000,0.15000000,0.25000000
214,5.00000000,9.00000000,0.00000000,0.27400000,0.40000000,0.60000000,0.25000000,0.35000000
215,5.00000000,9.00000000,0.00000000,0.27400000,0.40000000,0.60000000,0.35000000,0.55000000
216,5.00000000,9.00000000,0.00000000,0.27400000,0.40000000,0.60000000,0.55000000,1.00000000
217,5.00000000,9.00000000,0.00000000,0.27400000,0.60000000,1.00000000,0.00000000,0.15000000
218,5.00000000,9.00000000,0.00000000,0.27400000,0.60000000,1.00000000,0.15000000,0.25000000
219,5.00000000,9.00000000,0.00000000,0.27400000,0.60000000,1.00000000,0.25000000,0.35000000
220,5.00000000,9.00000000,0.00000000,0.27400000,0.60000000,1.00000000,0.35000000,0.55000000
