Q2,W,x,y,z_km,phperp_km,aff_m_k_i_mc,aff_m_k_f_mc,aff_xi_mc,aff_x_N_mc,aff_theta_k_i_mc,aff_k_iT_mc,aff_zeta_km_mc,aff_zN_km_mc,aff_theta_H_km_mc,aff_theta_delta_kT_km_mc,aff_delta_kT_km_mc
5.3070955,3.6069393,0.30436262,0.42236128,0.22381319,0.7607272,0.16291164,0.0056,0.38847843,0.2756482,-0.444298,0.25374386,0.21957256,0.22377655,-1.7728417,-1.298222,0.53902495
3.6292145,5.0394516,0.12894736,0.6817399,0.20787124,1.0592889,0.48539075,0.0056,0.18807085,0.12033395,1.9913012,0.51077455,0.20589109,0.20735596,-2.8282576,2.9600253,1.0692674
5.2205253,4.5981526,0.20486163,0.61726564,0.16242388,0.49726263,0.90794647,0.0056,0.26960802,0.16615516,-1.6703068,0.69281286,0.16999708,0.15777607,-0.93085784,-1.4595693,0.9255625
6.781171,3.0596666,0.44430637,0.36969253,0.19847086,0.82016784,0.24114369,0.0056,0.57758087,0.4054017,0.93658596,0.20317817,0.17033643,0.17301226,2.381763,2.172922,0.9722702
7.395636,3.8945165,0.34108716,0.5252048,0.3356592,0.94095516,0.18542923,0.0056,0.6455353,0.42772305,-2.3676066,0.30102137,0.31946623,0.32135135,-2.2052493,-2.2410746,1.3585087
5.651846,4.443193,0.23056096,0.5937766,0.20234746,0.43602884,0.63501996,0.0099,0.47709987,0.31714314,1.3275161,0.51784635,0.24331228,0.2384659,-0.044812877,0.96901774,0.59807175
6.4673243,3.1711323,0.41343117,0.37891337,0.5740078,0.94237083,0.90550816,0.0056,0.5187287,0.3323045,2.7865171,0.7730316,0.53935,0.5196247,-0.078915015,1.5903844,0.21180438
5.676168,4.5090756,0.22589396,0.6086521,0.20259213,0.72975487,2.4925387,0.0056,0.50395924,0.18913202,1.5181273,1.4733903,0.36299047,0.19638035,0.8226773,1.3339423,1.929458
10.453683,3.6136308,0.46190536,0.5481947,0.34481606,0.97946274,0.25582987,0.0056,0.6070556,0.4041636,-0.9845334,0.19280142,0.32906067,0.3326556,2.054482,2.012548,0.4709336
3.557245,4.9587445,0.13046432,0.66045094,0.102154344,0.55349845,0.62849754,0.0056,0.17699008,0.10782838,-1.6097512,0.6325586,0.0991493,0.099301495,0.8017211,-1.197464,0.46380168
5.4313197,3.1149056,0.38104895,0.34525752,0.20711587,0.29202482,0.38731846,0.0056,0.66897446,0.46924284,-2.9495955,0.13706338,0.20693918,0.20286162,1.3710175,2.3513942,0.15249465
4.014839,4.843336,0.150977,0.64413345,0.11225898,0.37575376,0.7128108,0.0056,0.29437548,0.18534356,2.2087874,0.65380454,0.10992685,0.108282,0.66235167,1.8148373,0.71528494
4.455157,5.053073,0.15305425,0.7050763,0.12927347,0.3784662,1.0156299,0.0099,0.21320875,0.12881888,-1.7446334,0.64778,0.14670084,0.12561557,0.18837026,-1.2586572,0.6104195
4.147127,4.660652,0.16596176,0.6052822,0.12482605,0.48993003,0.073912986,0.0056,0.20291243,0.13881503,-1.0700456,0.25313962,0.12175058,0.12375849,-0.10518396,-0.4574392,0.6030837
4.642726,4.2984004,0.20876864,0.5386744,0.06167376,0.24710853,0.5660201,0.0056,0.30358553,0.20174819,-1.475317,0.5217248,0.06304531,0.062365755,-0.0043036337,-1.1600634,0.56729186
10.867319,3.787779,0.44658563,0.5894354,0.24402687,0.6368282,0.24944654,0.0056,0.817538,0.52611583,-2.8419352,0.11511764,0.23599717,0.23736477,-0.13367076,-0.3227651,0.25715446
3.7227201,4.7228236,0.14803581,0.609133,0.15659685,0.69556224,0.78447664,0.0056,0.19714515,0.123794176,1.7578826,0.56399906,0.18219265,0.16663657,-0.31901878,0.51976424,0.66318315
5.5942583,3.238384,0.36801827,0.3682067,0.21644841,0.3675368,0.6185563,0.0056,0.5426897,0.37018442,-2.0408735,0.5573762,0.23730189,0.23422922,0.27252206,-1.8550975,0.4836943
3.9259448,4.3318686,0.18000107,0.5283086,0.44171694,0.6543731,0.99203867,0.0056,0.37554616,0.22463179,0.057104252,0.89886045,0.45048055,0.43668965,-0.04913735,0.029922808,1.2068809
5.636986,3.7029119,0.3052268,0.44734523,0.2616638,1.0572067,0.6386101,0.0056,0.4634104,0.30857542,2.564756,0.5979602,0.26209056,0.25980937,-2.8204453,-3.131572,1.5276057
7.2434616,3.191093,0.4377724,0.40078947,0.4347998,0.6589785,0.7343626,0.0056,0.5739864,0.37859556,-2.401283,0.63164186,0.43350115,0.42466822,-0.07071902,-1.0542775,0.5500925
4.1247,3.6037073,0.254124,0.39315626,0.25968096,0.2135162,0.24151438,0.0056,0.29030156,0.21105452,1.7897642,0.17364366,0.027408304,0.028099507,-1.5707964,1.7897642,0.17364366
3.5917397,4.81202,0.13885456,0.6265608,0.30944332,0.47410637,0.6307497,0.0099,0.17441854,0.1142707,-0.44856143,0.41485697,0.3284915,0.30499777,0.61935526,0.2395625,0.9804951
11.620962,3.8411102,0.45581815,0.6175456,0.23513152,0.5682524,1.1591023,0.0056,0.857947,0.52887213,-1.1154906,0.70492464,0.24264802,0.22826184,0.3828732,-0.6412245,0.82303774
5.250025,3.8740077,0.27093259,0.46937358,0.49906886,1.2013686,0.30975428,0.0099,0.3761748,0.26446697,-1.7265589,0.28836578,0.53940684,0.5379704,1.2306988,1.1333688,0.54391146
7.441119,3.4638555,0.40094268,0.44954637,0.16221239,0.46123174,0.22901659,0.0056,0.52143735,0.35592866,-0.8634834,0.3396087,0.15263484,0.15402837,-1.7289346,-1.1522751,0.47425032
5.424685,4.8624287,0.19244973,0.68277204,0.30563036,0.7363459,0.93764585,0.0056,0.2593449,0.14882074,0.9460678,0.890095,0.30610678,0.30081528,-0.57130915,0.37228262,1.0977607
4.2017975,4.8817706,0.1547445,0.657716,0.1393972,0.5375111,1.4172086,0.0056,0.25452974,0.11701458,-3.0548823,1.1832628,0.15603128,0.13621926,0.6952664,3.0221856,0.9298282
3.0391085,4.371751,0.14287595,0.51523525,0.14661945,0.37458718,0.950935,0.0056,0.22166397,0.119266875,-1.5705045,0.908295,0.14574291,0.14233778,0.23978886,-1.2596838,0.88461894
11.456923,4.2416925,0.40103307,0.6920004,0.17369643,0.55292106,0.64916754,0.0056,0.79423153,0.49681768,-2.827256,0.5084977,0.16945985,0.16758847,1.1650915,2.3298943,0.41610232
5.5362744,3.9274704,0.27569792,0.48641017,0.23406594,0.431504,0.24205127,0.0056,0.3684375,0.25407144,2.8056781,0.35422197,0.23531803,0.23839691,1.0654118,2.25365,0.376353
3.8935425,3.131659,0.3036972,0.31054366,0.29652202,0.19600318,0.48936224,0.0099,0.47048616,0.33559617,-0.49681312,0.38650146,0.28935802,0.28367856,1.4061303,0.08282712,0.37686008
8.177187,4.7215858,0.27634776,0.716748,0.24076012,0.34767446,0.19188453,0.0056,0.5255665,0.34119126,0.8242487,0.327578,0.23678777,0.238412,1.0434511,0.9172926,0.56612533
3.8561413,5.110912,0.13252617,0.7048064,0.13102503,0.54631305,0.65735984,0.0056,0.17179945,0.10299355,0.98664606,0.6581584,0.12508531,0.12512349,2.0132453,1.5064623,1.1601176
8.666847,3.8328907,0.38557804,0.5444618,0.1527364,0.5342867,0.29864308,0.0056,0.4713443,0.3203684,-1.1462327,0.15369871,0.15161563,0.15394458,0.37411278,0.07447713,0.5200463
9.6559105,4.5858984,0.32395837,0.7219756,0.10732785,0.6478361,1.2002608,0.0056,0.46948925,0.27670625,2.070138,0.99705523,0.11151323,0.10609081,1.0837272,1.7558117,1.3356416
5.0494766,4.469685,0.20911226,0.5849051,0.13253088,0.4171364,0.44830784,0.0056,0.28844786,0.19260512,-1.4926615,0.427326,0.12946829,0.12897484,-0.00043916135,-0.80302036,0.5923748
4.2815733,3.4068964,0.285283,0.36353484,0.4003196,0.8549084,0.84314483,0.0099,0.50119114,0.33723116,1.0238986,0.654195,0.51856244,0.4864222,-2.0855286,0.7920025,0.08060766
3.6855106,4.461753,0.1622687,0.5501504,0.2104479,0.6839484,2.7458117,0.0056,0.5494425,0.22843693,-0.26955196,0.90780103,0.92886126,0.21770062,-1.4798136,-0.7591886,1.2873096
6.633864,4.543801,0.25128618,0.63946456,0.19597906,0.7325099,0.72578806,0.0056,0.3094055,0.20906553,-2.7961001,0.217455,0.20797272,0.1902774,-0.93094796,-1.3317845,0.533337
3.6583316,4.9564133,0.13378914,0.6623396,0.2547745,0.6706856,0.1780689,0.0056,0.15066431,0.103538096,1.0958656,0.13711809,0.24734329,0.25170392,0.8648706,0.92575705,0.51591223
6.1395755,3.6482203,0.33064052,0.44978067,0.20717366,0.53465044,0.43722948,0.0056,0.6414577,0.42802152,-2.665872,0.42125,0.19365564,0.19333777,2.1636224,2.7442455,0.76268095
6.7812552,4.568536,0.25329256,0.6484943,0.079308614,0.4125383,0.35489786,0.0099,0.28870568,0.19265135,-1.4851086,0.35096264,0.07730354,0.07726313,0.8769556,-0.807379,0.24830584
10.534969,3.848862,0.4305549,0.5926841,0.16553146,0.4534871,0.8732004,0.0056,0.7673682,0.48146594,0.78593993,0.65894175,0.16165568,0.15738231,1.8075067,1.2380621,1.042408
5.4584537,4.229172,0.24298675,0.5441336,0.16457325,0.5508469,0.23941278,0.0056,0.29026157,0.20159665,-2.8355787,0.16902615,0.16030982,0.16329616,0.6472873,0.88647765,0.23878032
3.0308797,4.7846723,0.12102406,0.60661834,0.1256464,0.75972885,0.8844677,0.0056,0.16307148,0.09958673,1.8274323,0.55709165,0.14143409,0.11821732,-0.83239377,0.36367825,0.27737316
4.2495213,2.9895804,0.3452998,0.29810014,0.4835693,0.48240814,0.5245698,0.0056,0.6432292,0.4510045,2.1141927,0.45591003,0.5141134,0.5077363,-1.2280301,2.4298737,0.18404175
9.060864,3.7486305,0.40754598,0.538532,0.38370293,0.19607462,0.46721497,0.0099,0.6709836,0.44240683,2.056211,0.27087706,0.3787919,0.37336397,2.2441976,2.1328225,0.45545807
